time,AvgDist,ecuSpeed,OPS,ecuTPS,RPM,avgTPS,TPS_setpoint,Lambda,ETC_setpoint,APPS1,BSPot,BSPres,SB_errorSum,SB_setpoint,BrakeLight,ProximitySensorArm,ProximitySensorBil,Clutch_LoadCell,Clutch_pot,gear,speed_fl,speed_fr,speed_rl,speed_rr,avgSpeed,SteeringPotA,SteeringPotP,SteeringSpeed,SteeringPWM,SteeringErrorSum,Ax,Ay,YawRate,YawAcc,loadCell_fl,loadCell_fr,loadCell_rl,loadCell_rr
1.763237,0.000000,0.000000,0.187500,56.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,0.009941,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
1.787186,0.000000,0.000000,0.187500,60.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.435874,728,0.136948,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,0.013690,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
1.811106,0.000000,0.000000,0.187500,60.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.435874,728,0.136948,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,-0.015055,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000
1.835076,0.000000,0.000000,0.187500,64.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.435874,728,0.136948,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,-0.056298,-0.070000,5.000000,0.000000,0.000000,0.000000,0.000000
1.858976,0.000000,0.000000,0.187500,64.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.435874,728,0.136948,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.118788,-0.025054,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000
1.882921,0.000000,0.000000,0.187500,67.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.411636,729,0.144438,0,0.000000,0,1,1,31.492138,3.548127,0.012931,0.000000,0.000000,0.000000,0.000000,0.000000,21.239401,2.217082,1.170497,0,0.990000,0.078795,-0.018805,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
1.906861,0.000000,0.000000,0.187500,67.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.418178,729,0.136407,0,0.000000,0,1,1,28.598507,3.601798,0.013191,0.000000,0.000000,0.000000,0.000000,0.000000,21.547791,2.244953,-0.031564,0,0.990000,0.058798,-0.031303,-0.065000,-5.000000,0.000000,0.000000,0.000000,0.000000
1.926879,0.000000,0.000000,0.187500,67.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.414714,729,0.137761,0,0.000000,0,1,1,25.012882,3.519916,0.013356,0.000000,0.000000,0.000000,0.000000,0.000000,21.548542,2.264965,0.994698,0,0.990000,0.078795,-0.050049,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000
1.950747,0.000000,0.000000,0.187500,72.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.418126,729,0.140767,0,0.000000,0,1,1,20.869001,3.584682,0.012040,0.000000,0.000000,0.000000,0.000000,0.000000,21.548759,2.253299,0.258122,0,0.990000,0.098791,-0.025054,-0.045000,5.000000,0.000000,0.000000,0.000000,0.000000
1.974555,0.000000,0.000000,0.187500,72.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.402486,729,0.137775,0,0.000000,0,1,1,17.479616,3.621118,0.011246,0.000000,0.000000,0.000000,0.000000,0.000000,21.552145,2.250257,-1.496852,0,0.990000,0.098791,-0.020054,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
1.998513,0.000000,0.000000,0.187500,75.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.403925,729,0.137896,0,0.000000,0,1,1,14.835770,3.665872,0.016990,0.000000,0.000000,0.000000,0.000000,0.000000,21.551508,2.251957,-0.634549,0,0.990000,0.078795,-0.025054,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
2.022431,0.000000,0.000000,0.187500,75.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.409793,729,0.139177,0,0.000000,0,1,1,12.127719,3.546407,0.015190,0.000000,0.000000,0.000000,0.000000,0.000000,21.549248,2.255665,1.811540,0,0.990000,0.078795,-0.016305,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000
2.046385,0.000000,0.000000,0.187500,78.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.368629,729,0.140612,0,0.000000,0,1,1,10.229720,3.647663,0.012804,0.000000,0.000000,0.000000,0.000000,0.000000,21.552044,2.242837,0.165332,0,0.990000,0.098791,-0.008806,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
2.070677,0.000000,0.000000,0.187500,78.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.382532,729,0.138306,0,0.000000,0,1,1,8.684420,3.574485,0.011103,0.000000,0.000000,0.000000,0.000000,0.000000,21.548988,2.254629,3.017636,0,0.990000,0.078795,-0.018805,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000
2.094288,0.000000,0.000000,0.187500,82.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.378853,729,0.135508,0,0.000000,0,1,1,7.214202,3.568460,0.012523,0.000000,0.000000,0.000000,0.000000,0.000000,21.546518,2.253215,0.506592,0,0.990000,0.078795,-0.020054,-0.075000,5.000000,0.000000,0.000000,0.000000,0.000000
2.118248,0.000000,0.000000,0.187500,82.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.377051,729,0.140081,0,0.000000,0,1,1,5.873105,3.582089,0.016486,0.000000,0.000000,0.000000,0.000000,0.000000,21.548040,2.248722,-0.213148,0,0.990000,0.118788,0.003692,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
2.142210,0.000000,0.000000,0.187500,86.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.390108,729,0.135440,0,0.000000,0,1,1,4.824225,3.527453,0.012411,0.000000,0.000000,0.000000,0.000000,0.000000,21.546108,2.240186,-1.471274,0,0.990000,0.118788,-0.017555,-0.045000,0.000000,0.000000,0.000000,0.000000,0.000000
2.165333,0.000000,0.000000,0.187500,86.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.370273,729,0.139508,0,0.000000,0,1,1,4.006072,3.622376,0.014479,0.000000,0.000000,0.000000,0.000000,0.000000,21.550274,2.261098,0.808110,0,0.990000,0.118788,-0.015055,-0.075000,-5.000000,0.000000,0.000000,0.000000,0.000000
2.189426,0.000000,0.000000,0.187500,90.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.365284,729,0.136992,0,0.000000,0,1,1,3.273320,3.604936,0.014476,0.000000,0.000000,0.000000,0.000000,0.000000,21.546526,2.244387,0.663897,0,0.990000,0.058798,-0.032552,-0.075000,0.000000,0.000000,0.000000,0.000000,0.000000
2.211402,0.000000,0.000000,0.187500,90.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.363377,729,0.132028,0,0.000000,0,1,1,3.102702,3.477229,0.012944,0.000000,0.000000,0.000000,0.000000,0.000000,21.559427,2.251553,-0.400212,0,0.990000,0.098791,-0.028803,-0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
2.234249,0.000000,0.000000,0.187500,93.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.358548,729,0.133866,0,0.000000,0,1,1,2.410138,3.598800,0.010967,0.000000,0.000000,0.000000,0.000000,0.000000,21.547375,2.255434,-0.808930,0,0.990000,0.118788,-0.042551,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
2.255513,0.000000,0.000000,0.187500,93.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.347233,729,0.139140,0,0.000000,0,1,1,2.283750,3.543265,0.012486,0.000000,0.000000,0.000000,0.000000,0.000000,21.544771,2.247697,-1.707447,0,0.990000,0.118788,-0.037551,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
2.277279,0.000000,0.000000,0.187500,97.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.351169,729,0.139564,0,0.000000,0,1,1,2.108103,3.621355,0.013069,0.000000,0.000000,0.000000,0.000000,0.000000,21.555328,2.256176,-1.506128,0,0.990000,0.098791,-0.041301,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000
2.299213,0.000000,0.000000,0.187500,97.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.362841,729,0.133019,0,0.000000,0,1,1,1.859957,3.557301,0.011108,0.000000,0.000000,0.000000,0.000000,0.000000,21.547295,2.266678,-1.179968,0,0.990000,0.098791,-0.052549,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
2.322419,0.000000,0.000000,0.187500,97.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.351618,729,0.138861,0,0.000000,0,1,1,1.626639,3.568663,0.012062,0.000000,0.000000,0.000000,0.000000,0.000000,21.546326,2.263227,-1.452894,0,0.990000,0.078795,-0.035052,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
